method,subgraph_nodes,subgraph_edges,sampling_size,trial,trial_seed,centrality_total_runtime_sec,centrality_compute_runtime_sec,centrality_validation_runtime_sec,centrality_brandes_k,centrality_top_k,baseline_aspl,brute_total_runtime_sec,brute_num_edges_tested,brute_avg_runtime_per_edge_sec,brute_min_runtime_per_edge_sec,brute_max_runtime_per_edge_sec,brute_max_delta_aspl,brute_max_delta_edge
centrality,100,799,10,0,1390851128,0.023913500001071952,0.013674292000359856,0.009844833999522962,100.0,50.0,1.8484848484848484,,,,,,,
bruteforce_all_edges,100,799,10,0,1390851128,,,,,,1.8484848484848484,0.10437291700145579,799.0,0.00012963981349271074,0.00010879199908231385,0.0003634999993664678,0.09595959595959602,"['615', '414']"
centrality,100,799,30,0,1390851128,0.04668816699995659,0.013473459002852906,0.03268383300019195,100.0,50.0,1.84006734006734,,,,,,,
bruteforce_all_edges,100,799,30,0,1390851128,,,,,,1.84006734006734,0.33514466699853074,799.0,0.0004177334705265766,0.0003615000023273751,0.0011088329993071966,0.039057239057239235,"['665', '414']"
centrality,100,799,50,0,1390851128,0.068902374998288,0.013648208001541207,0.05434512499778066,100.0,50.0,1.854949494949495,,,,,,,
bruteforce_all_edges,100,799,50,0,1390851128,,,,,,1.854949494949495,0.5450485000001208,799.0,0.0006803858323087269,0.0005968750010652002,0.0018595840010675602,0.026464646464646524,"['599', '414']"
centrality,100,799,100,0,1390851128,0.12872854200031725,0.013500708999345079,0.1136655830014206,100.0,50.0,1.8385858585858585,,,,,,,
bruteforce_all_edges,100,799,100,0,1390851128,,,,,,1.8385858585858585,1.1479770830010239,799.0,0.001433865155212082,0.0012656250000873115,0.0037010420019214507,0.017777777777777892,"['599', '414']"
centrality,100,3857,10,1,647892279,0.05753679199915496,0.04995933400277863,0.006822250001278007,100.0,50.0,1.1787878787878787,,,,,,,
bruteforce_all_edges,100,3857,10,1,647892279,,,,,,1.1787878787878787,0.5624605830016662,3857.0,0.00014491247707194615,0.00011433400140958838,0.00021141599791008048,0.002020202020202033,"['2604', '1912']"
centrality,100,3857,30,1,647892279,0.07210850000046776,0.050225291000970174,0.02092662499853759,100.0,50.0,1.2296296296296296,,,,,,,
