subgraph_nodes,sampling_size,trial,centrality_total_runtime_sec,brute_total_runtime_sec,brute_over_centrality_ratio
100,10,0,0.023913500001071952,0.10437291700145579,4.364602295639582
100,30,0,0.04668816699995659,0.33514466699853074,7.178364209476083
100,50,0,0.068902374998288,0.5450485000001208,7.910445757692148
100,100,0,0.12872854200031725,1.1479770830010239,8.917813137339772
100,10,1,0.05753679199915496,0.5624605830016662,9.775668115280517
100,30,1,0.07210850000046776,1.7975612080008432,24.928561930828995
100,50,1,0.08799733300111257,3.154653707999387,35.849424072426174
100,100,1,0.12435016699964763,6.13434425000014,49.331210387658935
200,10,0,0.37527816700094263,8.326313000001392,22.187043457767896
200,30,0,0.4946285830010311,30.96759754100276,62.60778007027994
200,50,0,0.5726709999980812,49.532223041998805,86.49333219626062
200,100,0,0.8557303340021463,104.59716854100043,122.23146052543474
200,10,1,0.14334479199897032,1.7344022079996648,12.09951323527766
200,30,1,0.2190567080033361,5.65347649999967,25.808278374719166
200,50,1,0.30081924999831244,9.032000333001633,30.02467539245677
200,100,1,0.4844316249982512,18.24050850000276,37.65342219362456
400,10,0,0.3042437500007509,2.2162522090002312,7.284462569879452
400,30,0,0.4555531250007334,6.011238292001508,13.195471531430785
400,50,0,0.5989216250018217,10.08203016599873,16.833638568265197
400,100,0,0.9689109579994692,20.105427792001137,20.750542272236487
400,10,1,0.292792708001798,1.8106785000018135,6.1841652832101754
400,30,1,0.4342771250012447,6.106796832998953,14.06198135115095
400,50,1,0.5712519579974469,10.794542208001076,18.896289206328323
400,100,1,0.9066056669980753,20.931801458002155,23.088099071022675
800,10,0,0.6252678339988051,17.177609709000535,27.472402664860834
800,30,0,0.8777535000008356,53.417075084002136,60.85657885038486
800,50,0,1.1991345829992497,92.82764375000261,77.41219798517035
800,100,0,1.831836375000421,186.39502108300076,101.75309521460831
800,10,1,1.143525833998865,75.92443483399984,66.39503243096404
800,30,1,1.8367994580003142,178.2204912499983,97.02773510398532
800,50,1,2.1110401670011925,353.1638158329988,167.2937452131385
800,100,1,3.463739833998261,732.754217791,211.55001614112794
